x_utm,y_utm,value
347212.43313307303,5810145.006805061,0.7056758403778076
347222.43313307303,5810145.006805061,0.7056461572647095
347232.43313307303,5810145.006805061,0.6892322301864624
347242.43313307303,5810145.006805061,0.6721041202545166
347252.43313307303,5810145.006805061,0.6683285236358643
347262.43313307303,5810145.006805061,0.6694759130477905
347272.43313307303,5810145.006805061,0.6592094898223877
347282.43313307303,5810145.006805061,0.7037217617034912
347292.43313307303,5810145.006805061,0.7278403043746948
347302.43313307303,5810145.006805061,0.7273151874542236
347672.43313307303,5810145.006805061,0.7038974761962891
347682.43313307303,5810145.006805061,0.646497368812561
347692.43313307303,5810145.006805061,0.6793879270553589
347702.43313307303,5810145.006805061,0.691006064414978
347712.43313307303,5810145.006805061,0.6567505598068237
347722.43313307303,5810145.006805061,0.6753495931625366
347732.43313307303,5810145.006805061,0.6852751970291138
347742.43313307303,5810145.006805061,0.6961542367935181
347752.43313307303,5810145.006805061,0.7227449417114258
347762.43313307303,5810145.006805061,0.6798781156539917
347772.43313307303,5810145.006805061,0.664664626121521
347782.43313307303,5810145.006805061,0.6685349941253662
347792.43313307303,5810145.006805061,0.656204342842102
347802.43313307303,5810145.006805061,0.6562017202377319
347182.43313307303,5810135.006805061,0.7139385938644409
347192.43313307303,5810135.006805061,0.7110269069671631
347202.43313307303,5810135.006805061,0.7070480585098267
347212.43313307303,5810135.006805061,0.7090966701507568
347222.43313307303,5810135.006805061,0.7025129795074463
347232.43313307303,5810135.006805061,0.6883507966995239
347242.43313307303,5810135.006805061,0.6802043914794922
347252.43313307303,5810135.006805061,0.6701475381851196
347262.43313307303,5810135.006805061,0.6708592176437378
347272.43313307303,5810135.006805061,0.6528432369232178
347282.43313307303,5810135.006805061,0.686485767364502
347292.43313307303,5810135.006805061,0.727159857749939
347302.43313307303,5810135.006805061,0.7389048337936401
347672.43313307303,5810135.006805061,0.6897159814834595
347682.43313307303,5810135.006805061,0.6385105848312378
347692.43313307303,5810135.006805061,0.6920236349105835
347702.43313307303,5810135.006805061,0.6943187713623047
347712.43313307303,5810135.006805061,0.6609847545623779
347722.43313307303,5810135.006805061,0.645240306854248
347732.43313307303,5810135.006805061,0.6602996587753296
347742.43313307303,5810135.006805061,0.6840856075286865
347752.43313307303,5810135.006805061,0.686741828918457
347762.43313307303,5810135.006805061,0.6785027980804443
347772.43313307303,5810135.006805061,0.681719183921814
347782.43313307303,5810135.006805061,0.6953223943710327
347792.43313307303,5810135.006805061,0.6953197717666626
347802.43313307303,5810135.006805061,0.6800788640975952
347182.43313307303,5810125.006805061,0.7172043323516846
347192.43313307303,5810125.006805061,0.7142943143844604
347202.43313307303,5810125.006805061,0.7163705825805664
347212.43313307303,5810125.006805061,0.7125120162963867
